"Source:","C:\Users\Tomek\Desktop\Wzmacniacz_GIT\VER_2\Kicad_project\wzmacniacz_v2.sch"
"Date:","26.02.2023 00:18:43"
"Tool:","Eeschema (5.1.10)-1"
"Component Count:","65"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BASS1","500k A","","~","",""
"C1","100p","","~","",""
"C2","22n","","~","",""
"C3","22u","","~","",""
"C4","22u","","~","",""
"C5","47u/350V","","~","",""
"C6","470p","","~","",""
"C7","22n","","~","",""
"C8","10n","","~","",""
"C9","47u/350V","","~","",""
"C10","47u/350V","","~","",""
"C11","47u/350V","","~","",""
"C12","100u","","~","",""
"C13","22n","","~","",""
"C14","22n","","~","",""
"CLEAN1","250K A","","~","",""
"D1","D","","~","",""
"D2","D","","~","",""
"D3","D","","~","",""
"D4","D","","~","",""
"F1","Fuse","","~","",""
"J1","Conn_01x03_Male","","~","",""
"J2","AudioJack2_Ground_Switch","","~","",""
"J3","AudioJack2_Ground_Switch","","~","",""
"LA1","Lamp","","~","",""
"LEAD1","1M A","","~","",""
"MID1","20k B","","~","",""
"R1","1M","","~","",""
"R2","1k","","~","",""
"R3","100k","","~","",""
"R4","47k","","~","",""
"R5","68k","","~","",""
"R6","1k","","~","",""
"R7","100k","","~","",""
"R8","220k","","~","",""
"R9","47k","","~","",""
"R10","680","","~","",""
"R11","1k","","~","",""
"R12","10k","","~","",""
"R13","4,7k","","~","",""
"R14","350","","~","",""
"R15","1k","","~","",""
"R16","220/5W","","~","",""
"R17","47k","","~","",""
"R18","1k","","~","",""
"R19","100k","","~","",""
"R20","500k","","~","",""
"R21","100k","","~","",""
"R22","220k","","~","",""
"R23","3,3k","","~","",""
"R24","330k","","~","",""
"R25","100k","","~","",""
"R26","220k","","~","",""
"R27","22k","","~","",""
"SW1","POWER","","~","",""
"SW2","STANDBY","","","",""
"SW3","SW_DPDT_x2","","","",""
"T1","Transformer_1P_2S","","~","",""
"T2","Transformer_1P_1S","","~","",""
"TREBBLE1","250k B","","~","",""
"U1","ECC83","Valve:Valve_Noval_P","http://www.r-type.org/pdfs/ecc83.pdf","",""
"U2","EL84","Valve:Valve_Noval_P","http://www.r-type.org/pdfs/el84.pdf","",""
"U3","ECC83","Valve:Valve_Noval_P","http://www.r-type.org/pdfs/ecc83.pdf","",""
"U4","ECC83","Valve:Valve_Noval_P","http://www.r-type.org/pdfs/ecc83.pdf","",""
"VOLUME1","1M","","~","",""
